ticker,fiscal_year,altman_z,net_debt_ebitda,current_ratio,sloan_accruals,ccr,ev_ebitda,fcf_yield,fcf,ebitda,net_debt,market_cap,sic
AAMI,2025.0,,,,0.12171344165435746,-0.018168054504163512,,-0.0011758624455321068,-2400000.0,132100000.0,,2041055064.8328094,6282.0
AAP,2026.0,3.058266211331443,1.262008733624454,1.7456896551724137,0.0076103500761035,-0.20087336244541484,14.847161172258803,-0.09578913814521296,-298000000.0,229000000.0,289000000.0,3110999908.4472656,5531.0
AAT,2025.0,,5.748115237663041,,-0.05566266248036817,0.611596229011433,9.913579107482985,0.08334299711132966,94860000.0,273244000.0,1570638000.0,1138188009.6450806,6798.0
ABCB,2025.0,,,,0.0007984843951378039,0.7088256452738054,,0.06925256203414466,369644000.0,550464000.0,,5337622019.207733,6022.0
ABG,2025.0,,,0.9496277567074027,-0.02437554870806149,0.8220572640509014,,0.1987384741149253,775200000.0,943000000.0,,3900603561.8031464,5500.0
ABM,2025.0,2.453004248632335,3.5044332614426073,1.4847974266676878,-0.013890630576750556,0.5617062065660197,9.015936127193331,0.0674362443368554,155100000.0,417300000.0,1462400000.0,2299950145.877777,7340.0
ABR,2025.0,,53.00677102621333,,-0.01827911507927994,1.8635635715787051,60.40294568472874,0.25196316442218347,372381000.0,199822000.0,10591919000.0,1477918412.6138663,6798.0
ACA,2025.0,2.92141832103939,2.3007611966719774,2.1971803018268465,-0.026618791623204685,0.6038236856080722,11.425048892952569,0.03404917359001197,175500000.0,564900000.0,1299700000.0,5154310119.628906,3440.0
ACAD,2025.0,3.935996982485372,-1.681412161011336,3.8327655766218958,0.17974996723554287,1.0393065990424102,32.91806727520138,0.02875558236657756,105146000.0,105682000.0,-177695000.0,3656542185.777832,2834.0
ACHC,2025.0,-0.8004648338781156,-2.699608300292463,1.5501681283487625,-0.2233707128497636,-0.15044964480113882,-5.1603360587926215,-0.20391643751781927,-439909000.0,-876692000.0,2366725000.0,2157300340.0550213,8093.0
ACIW,2025.0,4.395616284118988,1.45514475404229,1.54343485303475,-0.030974518721494718,0.7562889177298519,11.286929461396126,0.07384742454593742,309924000.0,426862000.0,621146000.0,4196815283.750473,7372.0
ACLS,2025.0,8.806497361210738,-1.0622443912129003,4.7718405342507335,0.0014199130128820562,0.8639942159383034,21.000568934984646,0.03542184748756109,107010000.0,136928000.0,-145451000.0,3021016903.1295776,3559.0
ACMR,2025.0,6.208993372445603,-3.789912301952614,3.2675885596584204,0.04416458364442948,-0.08337774762989163,,,-66608000.0,123834000.0,-469320000.0,,3559.0
ACT,2025.0,,0.18861320599834427,,-0.007293138168810871,0.8436047818154085,6.944408649724154,0.12487127368530299,724519000.0,858837000.0,161988000.0,5802127091.503143,6411.0
ADAM,2025.0,,3.2654495516600694,,0.0011874500893950216,0.8329242451546354,7.417944750178948,0.1883819898422785,125886000.0,160927000.0,525499000.0,668248594.8120475,6798.0
ADEA,2025.0,3.518221540879441,1.9513570633409243,3.810047882874978,-0.04523319955778055,0.8933279838158259,16.955712247914594,0.05885774161993458,156280000.0,176963000.0,345318000.0,2655215706.52771,4841.0
ADMA,2025.0,8.705001772364248,-0.07765125875563444,6.708445377547059,0.15464194975666487,0.2526837241718185,9.809783059650167,0.01410815838323372,27821000.0,199443000.0,-15487000.0,1971979562.765808,2836.0
ADNT,2025.0,,,1.120965554651478,-0.07975962851679869,2.350785340314136,,0.26557423986918394,449000000.0,191000000.0,,1690676024.2302399,3714.0
ADT,2025.0,0.05665283237983859,2.88417546766453,0.9334654888503655,-0.08084301877897679,0.7040660030932878,,,1708416000.0,2676117000.0,7718391000.0,,7381.0
ADUS,2025.0,5.452257653278505,,1.8027721474108116,-0.010851536344332599,0.719274706986525,,0.05738414085106575,103788000.0,155027000.0,,1808653026.0925293,8082.0
AEO,2025.0,,-0.4769197996999203,1.5342681633614907,-0.03990372304459089,0.7359947393443939,4.201931998058674,0.08388398204430837,254260000.0,647828000.0,-308962000.0,3031091202.4383545,5651.0
AESI,2025.0,1.2498239467666554,,1.456970397604518,-0.07523240598305173,0.7863010761334245,,-0.01779794548045171,-30925000.0,149238000.0,,1737560104.0,1311.0
AGO,2025.0,,,,0.020039421813403416,0.39123867069486407,,0.07042655437894552,259000000.0,662000000.0,,3677590111.911392,6351.0
AGX,2026.0,5.02364587753869,-2.484983127520807,1.5919098160018108,-0.27385207316789784,3.035714024287586,39.47039527972,0.07167935796678065,410841000.0,136613000.0,-339481000.0,5731650110.348389,1700.0
AGYS,2025.0,,-1.866806242862581,1.1126152903876638,-0.08130224260958206,2.098515416825276,75.3125509591787,0.027190112653202734,55128000.0,26270000.0,-49041000.0,2027501713.6976242,7373.0
AHCO,2025.0,0.09490628395219436,,1.0231712315691361,-0.15580980021901614,1.2727813028764805,,0.14195057496794086,219383000.0,472800000.0,,1545488632.5719147,8082.0
AIN,2025.0,4.240273433262528,6.626256972457586,2.1000255484436927,-0.12207767574382865,2.942888575785065,37.74036292332536,0.051266306319101534,82644000.0,51811000.0,343313000.0,1612052943.4204102,2221.0
